Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
Ek Thi Daayan,2013,135,5.7,4600,Kannan Iyer,"Vishal Bhardwaj, Mukul Sharma",Emraan Hashmi|Konkona Sen Sharma|Kalki Koechlin,Horror|Romance|Thriller,3500000.0,6500000.0
Paranormal Activity: The Ghost Dimension,2015,88,4.6,31000,Gregory Plotkin,"Jason Pagan, Andrew Deutschman, Adam Robitel",Chris J. Murray|Brit Shaw|Ivy George,Horror|Mystery,10000000.0,78903124.0
Paranormal Activity: The Marked Ones,2014,84,5.0,45000,Christopher Landon,"Christopher Landon, Oren Peli",Andrew Jacobs|Jorge Diaz|Gabrielle Walsh,Horror|Mystery,5000000.0,90894962.0
Malibu Horror Story,2023,83,6.0,2100,Scott Slone,Scott Slone,Dylan Sprayberry|Robert Bailey Jr.|Valentina de Angelis,Horror|Thriller,1000000.0,114000.0
Bone Tomahawk,2015,132,7.1,118000,S. Craig Zahler,S. Craig Zahler,Kurt Russell|Patrick Wilson|Matthew Fox,Drama|Horror|Western,1800000.0,475846.0
The Den,2013,76,6.0,16000,Zachary Donohue,"Zachary Donohue, Lauren Thompson",Melanie Papalia|David Schlachtenhaufen|Adam Shapiro,Horror|Mystery|Thriller,500000.0,410129.0
Home,2016,87,3.9,539,Frank Lin,"Jeff Lam, Frank Lin",Kerry Knuppe|Heather Langenkamp|Samantha Mumba,Drama|Horror|Thriller,135000000.0,368871007.0
Crimson Peak,2015,119,6.5,158000,Guillermo del Toro,"Guillermo del Toro, Matthew Robbins",Mia Wasikowska|Jessica Chastain|Tom Hiddleston,Drama|Horror|Mystery,55000000.0,74700000.0
Bunker of the Dead,2015,76,4.0,531,Matthias Olof Eich,"Matthias Olof Eich, Bernd Strack",Patrick Jahns|Esther Maaß|Aciel Martinez Pol,Action|Comedy|Horror,30000.0,10147.0
Life After Beth,2014,89,5.7,24000,Jeff Baena,Jeff Baena,Aubrey Plaza|Dane DeHaan|John C. Reilly,Comedy|Fantasy|Horror,2400000.0,88273.0
Shut In,2016,91,4.8,15000,Farren Blackburn,Christina Hodson,Naomi Watts|Charlie Heaton|Jacob Tremblay,Drama|Horror|Mystery,10000000.0,13082071.0
