Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
Das Cabinet des Dr. Caligari,1920,76,8.0,70000,Robert Wiene,"Carl Mayer, Hans Janowitz",Werner Krauss|Conrad Veidt|Friedrich Feher,Horror|Mystery|Thriller,18000.0,8811.0
London After Midnight,1927,69,6.6,1500,Tod Browning,"Tod Browning, Waldemar Young, Joseph Farnham",Lon Chaney|Marceline Day|Henry B. Walthall,Horror|Mystery|Thriller,151666.0,1000000.0
West of Zanzibar,1928,65,7.2,2000,Tod Browning,"Elliott J. Clawson, Chester M. De Vonde, Joseph Farnham",Lon Chaney|Lionel Barrymore|Mary Nolan,Drama|Horror|Mystery,259000.0,921000.0
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,76,6.4,5000,Charles Lamont,"Lee Loeb, John Grant, Sid Fields",Bud Abbott|Lou Costello|Boris Karloff,Comedy|Horror|Mystery,724805.0,2616000.0
"The Beast from 20,000 Fathoms",1953,80,6.6,8700,Eugène Lourié,"Lou Morheim, Fred Freiberger, Ray Bradbury",Paul Hubschmid|Paula Raymond|Cecil Kellaway,Horror|Sci-Fi,210000.0,5000000.0
House of Wax,1953,88,7.0,20000,André De Toth,"Crane Wilbur, Charles Belden",Vincent Price|Frank Lovejoy|Phyllis Kirk,Horror,1000000.0,23750319.0
It Came from Outer Space,1953,81,6.5,11000,Jack Arnold,"Harry Essex, Ray Bradbury",Richard Carlson|Barbara Rush|Charles Drake,Horror|Sci-Fi,800000.0,1600000.0
Robot Monster,1953,66,3.0,5500,Phil Tucker,Wyott Ordung,George Nader|Gregory Moffett|Claudia Barrett,Comedy|Family|Horror,16000.0,1000000.0
Annihilation,2018,115,6.8,362000,Alex Garland,"Alex Garland, Jeff VanderMeer",Natalie Portman|Jennifer Jason Leigh|Tessa Thompson,Adventure|Drama|Horror,40000000.0,43070915.0
The Pyramid,2014,89,4.6,27000,Grégory Levasseur,"Daniel Meersand, Nick Simon",Ashley Hinshaw|James Buckley|Denis O'Hare,Horror|Mystery|Thriller,6500000.0,16861137.0
A Haunted House 2,2014,86,4.7,23000,Michael Tiddes,"Marlon Wayans, Rick Alvarez",Marlon Wayans|Jaime Pressly|Cedric The Entertainer,Comedy|Fantasy|Horror,4000000.0,25343661.0
"As Above, So Below",2014,93,6.2,112000,John Erick Dowdle,"John Erick Dowdle, Drew Dowdle",Perdita Weeks|Ben Feldman|Edwin Hodge,Horror|Mystery|Thriller,5000000.0,41900000.0
Mischief Night,2013,87,4.6,2000,Richard Schenkman,"Jesse Baget, Richard Schenkman, Eric D. Wilkinson",Noell Coet|Daniel Hugh Kelly|Charlie O'Connell,Drama|Horror|Thriller,108000.0,57000.0
The Lazarus Effect,2015,83,5.2,46000,David Gelb,"Luke Dawson, Jeremy Slater",Olivia Wilde|Mark Duplass|Evan Peters,Horror|Mystery|Sci-Fi,3300000.0,64110728.0
47 Meters Down,2017,89,5.6,61000,Johannes Roberts,"Johannes Roberts, Ernest Riera",Mandy Moore|Claire Holt|Matthew Modine,Horror|Mystery|Thriller,5500000.0,62198461.0
The Circle,2017,93,4.8,519,Peter Callow,"Scott O'Neill, Peter Callow",Edward Baker-Duly|Sesselia Olafs|Griffin Stevens,Drama|Horror|Thriller,18000000.0,40651864.0
Mallari,2023,129,6.9,248,Roderick Cabrido,Enrico C. Santos,Piolo Pascual|Janella Salvador|Elisse Joson,Crime|Drama|Horror,1350000.0,3800000.0
The Purge: Anarchy,2014,103,6.4,162000,James DeMonaco,James DeMonaco,Frank Grillo|Carmen Ejogo|Zach Gilford,Action|Horror|Sci-Fi,9000000.0,111928365.0
13/13/13,2013,86,2.9,2400,James Cullen Bressack,James Cullen Bressack,Trae Ireland|Erin Coker|Jody Barton,Horror,52000000.0,355237933.0
The Conjuring 2,2016,134,7.3,301000,James Wan,"Chad Hayes, Carey W. Hayes, James Wan",Vera Farmiga|Patrick Wilson|Madison Wolfe,Horror|Mystery|Thriller,40000000.0,322811702.0
Tusk,2014,102,5.3,63000,Kevin Smith,Kevin Smith,Justin Long|Michael Parks|Haley Joel Osment,Comedy|Horror,3000000.0,1882074.0
Unearthed & Untold: The Path to Pet Sematary,2017,75,6.9,618,"John Campopiano, Justin White","John Campopiano, Justin White",Brad Greenquist|Sean Clark|Mark E. Anastasio,Documentary|Horror,170000.0,22834.0
Hazard Jack,2014,82,2.7,612,David Worth,"Annie Margis, Doug Vandegrift, David Worth",Amanda Maddox|Kevin James Sporman|Alison Lani,Horror,30000.0,8000.0
Honeymoon,2014,87,5.7,28000,Leigh Janiak,"Phil Graziadei, Leigh Janiak",Rose Leslie|Harry Treadaway|Ben Huber,Drama|Fantasy|Horror,1000000.0,9318.0
Insidious: Chapter 3,2015,97,6.1,119000,Leigh Whannell,Leigh Whannell,Dermot Mulroney|Stefanie Scott|Angus Sampson,Horror|Mystery|Thriller,10000000.0,120453155.0
Incarnate,2016,87,5.3,14000,Brad Peyton,Ronnie Christensen,Aaron Eckhart|Carice van Houten|Catalina Sandino Moreno,Horror|Thriller,5000000.0,6341855.0
It Follows,2014,100,6.8,269000,David Robert Mitchell,David Robert Mitchell,Maika Monroe|Keir Gilchrist|Olivia Luccardi,Horror|Mystery|Thriller,2300000.0,23374076.0
Jue min hang ban,2014,86,3.4,350,Vincent Zhou,"Peter Cameron, Vincent Zhou",Ed Westwick|Zhu Zhu|Leon Lee,Action|Horror|Thriller,10000000.0,5900000.0
Il racconto dei racconti - Tale of Tales,2015,134,6.4,31000,Matteo Garrone,"Edoardo Albinati, Ugo Chiti, Matteo Garrone",Salma Hayek|Vincent Cassel|Toby Jones,Drama|Fantasy|Horror,12000000.0,5500277.0
Cult of Chucky,2017,91,5.3,30000,Don Mancini,Don Mancini,Allison Dawn Doiron|Alex Vincent|Brad Dourif,Horror|Thriller,6500000.0,2332018.0
The Autopsy of Jane Doe,2016,86,6.8,140000,André Øvredal,"Ian Goldberg, Richard Naing",Brian Cox|Emile Hirsch|Ophelia Lovibond,Horror|Mystery|Thriller,4000000.0,6170043.0
Annabelle,2014,99,5.4,175000,John R. Leonetti,Gary Dauberman,Ward Horton|Annabelle Wallis|Alfre Woodard,Horror|Mystery|Thriller,6500000.0,257589952.0
Pizza II: Villa,2013,102,6.3,709,Deepan Chakravarthy,"Deepan Chakravarthy, Manikandan K.",Ashok Selvan|Sanchita Shetty|Nassar,Horror|Thriller,970000.0,2800000.0
Jigsaw,2017,92,5.7,92000,"Michael Spierig, Peter Spierig","Josh Stolberg, Pete Goldfinger",Matt Passmore|Tobin Bell|Callum Keith Rennie,Horror|Mystery|Thriller,10000000.0,102952888.0
Friend Request,2016,92,5.2,28000,Simon Verhoeven,"Matthew Ballen, Philip Koch, Simon Verhoeven",Alycia Debnam-Carey|William Moseley|Connor Paolo,Horror|Mystery|Thriller,9900000.0,10975390.0
Legend,2015,94,3.5,402,"Timothy Woodward Jr., John Michael Elfers","Lauren De Normandie, John Michael Elfers, Glenn Ennis",Verne Troyer|Kerry Knuppe|Bill Oberst Jr.,Horror,25000000.0,42972994.0
Scary Stories to Tell in the Dark,2019,108,6.2,85000,André Øvredal,"Dan Hageman, Kevin Hageman, Guillermo del Toro",Zoe Colletti|Michael Garza|Gabriel Rush,Adventure|Horror|Mystery,25000000.0,104500000.0
The Forest,2016,93,4.8,46000,Jason Zada,"Ben Ketai, Sarah Cornwell, Nick Antosca",Natalie Dormer|Eoin Macken|Stephanie Vogt,Horror|Mystery|Thriller,10000000.0,37608299.0
What We Do in the Shadows,2014,86,7.6,200000,"Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi",Jemaine Clement|Taika Waititi|Cori Gonzalez-Macuer,Comedy|Horror,1600000.0,6300000.0
The Boogeyman,2023,98,5.9,44000,Rob Savage,"Scott Beck, Bryan Woods, Mark Heyman",Sophie Thatcher|Chris Messina|Vivien Lyra Blair,Horror|Mystery|Thriller,41900000.0,66978229.0
Evidence of a Haunting,2010,80,2.4,151,Joey Evans,"Joey Evans, Jessica D. Fulling",Jessica D. Fulling|Renee Wiggins|Scott Evans,Drama|Fantasy|Horror,25000.0,54474.0
The Visit,2015,94,6.3,152000,M. Night Shyamalan,M. Night Shyamalan,Olivia DeJonge|Ed Oxenbould|Deanna Dunagan,Horror|Mystery|Thriller,5000000.0,98450062.0
The Grudge,2019,94,4.4,29000,Nicolas Pesce,"Nicolas Pesce, Jeff Buhler, Takashi Shimizu",Tara Westwood|Junko Bailey|David Lawrence Brown,Fantasy|Horror,10000000.0,42800000.0
Dartmoor Killing,2015,94,4.4,496,Peter Nicholson,"Peter Nicholson, Isabelle Grey",Gemma-Leah Devereux|Rebecca Night|David Hayman,Drama|Horror|Mystery,500000.0,29198.0
Unfriended,2014,83,5.6,82000,Levan Gabriadze,Nelson Greaves,Heather Sossaman|Matthew Bohrer|Courtney Halverson,Horror|Mystery|Thriller,1000000.0,62900000.0
The Hive,2014,93,5.2,2200,David Yarovesky,"David Yarovesky, Will Honley",Gabriel Basso|Sean Gunn|Kathryn Prescott,Horror|Sci-Fi|Thriller,170000000.0,714766572.0
Captive,2016,84,4.5,107,Stephen Patrick Kenny,Stephen Patrick Kenny,Rob James Capel|Marwan Abbas|Jamie Burke,Drama|Horror|Sci-Fi,2000000.0,2801508.0
Sming,2014,105,4.3,154,Pan Visitsak,Pan Visitsak,Thanyaboon Boonprasert|Maythavee Burapasing|Geoffrey Giuliano,Action|Drama|Horror,15000000.0,89038.0
Malignant,2021,111,6.2,109000,James Wan,"James Wan, Ingrid Bisu, Akela Cooper",Annabelle Wallis|Maddie Hasson|George Young,Crime|Horror|Mystery,40000000.0,34891791.0
The Predator,2018,107,5.3,144000,Shane Black,"Fred Dekker, Shane Black, Jim Thomas",Boyd Holbrook|Trevante Rhodes|Jacob Tremblay,Action|Adventure|Horror,88000000.0,160542134.0
31,2016,102,5.1,23000,Rob Zombie,Rob Zombie,Malcolm McDowell|Richard Brake|Jeff Daniel Phillips,Horror|Thriller,1500000.0,850419.0
Ratter,2015,80,4.8,12000,Branden Kramer,Branden Kramer,Ashley Benson|Matt McGorry|Kaili Vernoff,Drama|Horror|Thriller,500000.0,110834.0
Krampus,2015,98,6.2,84000,Michael Dougherty,"Todd Casey, Michael Dougherty, Zach Shields",Adam Scott|Toni Collette|David Koechner,Comedy|Fantasy|Horror,15000000.0,61800000.0
The Boy,2016,97,6.0,102000,William Brent Bell,Stacey Menear,Lauren Cohan|Rupert Evans|James Russell,Horror|Mystery|Thriller,10000000.0,73929392.0
Patient,2016,94,4.5,253,Jason Sheedy,"Brett Brooks, Jason Sheedy",Anney Reese|Brett Brooks|Sheri Gilbert-Wilson,Horror|Thriller,1200000.0,1813729.0
The Endless,2017,111,6.5,50000,"Justin Benson, Aaron Moorhead",Justin Benson,Aaron Moorhead|Justin Benson|Callie Hernandez,Drama|Fantasy|Horror,1000000.0,956425.0
The House That Jack Built,2018,152,6.8,92000,Lars von Trier,"Lars von Trier, Jenle Hallund",Matt Dillon|Bruno Ganz|Uma Thurman,Crime|Drama|Horror,9800000.0,5566776.0
De uskyldige,2021,117,7.0,25000,Eskil Vogt,Eskil Vogt,Rakel Lenora Petersen Fløttum|Alva Brynsmo Ramstad|Sam Ashraf,Drama|Fantasy|Horror,3400000.0,322000.0
The Bye Bye Man,2017,96,4.3,26000,Stacy Title,"Jonathan Penner, Robert Damon Schneck",Douglas Smith|Lucien Laviscount|Cressida Bonas,Drama|Fantasy|Horror,7400000.0,26700000.0
Ayla,2017,86,3.2,867,Elias,Elias,Nicholas Wilder|Tristan Risk|Dee Wallace,Drama|Fantasy|Horror,4200000.0,21107423.0
The Shallows,2016,86,6.3,144000,Jaume Collet-Serra,Anthony Jaswinski,Blake Lively|Óscar Jaenada|Angelo Josue Lozano Corzo,Action|Drama|Horror,17000000.0,119100000.0
Green Room,2015,95,7.0,139000,Jeremy Saulnier,Jeremy Saulnier,Anton Yelchin|Imogen Poots|Alia Shawkat,Crime|Drama|Horror,5000000.0,3800000.0
The Purge: Election Year,2016,108,6.0,110000,James DeMonaco,James DeMonaco,Frank Grillo|Elizabeth Mitchell|Mykelti Williamson,Action|Horror|Sci-Fi,10000000.0,118587880.0
Muni,2007,146,6.2,575,Raghava Lawrence,Ramesh Khanna,Raghava Lawrence|Vedhika|Raj Kiran,Comedy|Horror,70000000.0,130982129.0
Don't Breathe,2016,88,7.1,301000,Fede Alvarez,"Fede Alvarez, Rodo Sayagues",Stephen Lang|Jane Levy|Dylan Minnette,Crime|Horror|Thriller,9900000.0,159100000.0
Meet the Blacks,2016,94,4.8,38000,Deon Taylor,"Deon Taylor, Nicole DeMasi",Mike Epps|Zulay Henao|Alex Henderson,Comedy|Horror,900000.0,9097072.0
Shin Gojira,2016,120,6.8,37000,"Hideaki Anno, Shinji Higuchi","Hideaki Anno, Sean Whitley, Ishirô Honda",Hiroki Hasegawa|Yutaka Takenouchi|Satomi Ishihara,Action|Drama|Horror,15000000.0,78053145.0
The VVitch: A New-England Folktale,2015,92,7.0,301000,Robert Eggers,Robert Eggers,Anya Taylor-Joy|Ralph Ineson|Kate Dickie,Drama|Fantasy|Horror,3500000.0,40423945.0
Terrifier,2016,85,5.6,53000,Damien Leone,Damien Leone,Jenna Kanell|Samantha Scaffidi|David Howard Thornton,Horror|Thriller,100000.0,416322.0
Pisasu,2014,114,7.5,2300,Mysskin,"Mysskin, Tamizhachi Thangapandian",Naga|Prayaga Martin|Radha Ravi,Drama|Horror|Mystery,310000.0,1200000.0
Chaar,2014,81,6.9,574,Sandip Ray,"Saradindu Bandopadhyay, Rajshekhar 'Parashuram' Basu, Sandip Ray",Paran Banerjee|Saswata Chatterjee|Rajatabha Dutta,Drama|Horror|Mystery,2500000.0,8800000.0
The Bad Batch,2016,118,5.2,36000,Ana Lily Amirpour,Ana Lily Amirpour,Suki Waterhouse|Jason Momoa|Jayda Fink,Action|Horror|Mystery,6000000.0,180851.0
Ouija: Origin of Evil,2016,99,6.2,73000,Mike Flanagan,"Mike Flanagan, Jeff Howard, Juliet Snowden",Elizabeth Reaser|Lulu Wilson|Annalise Basso,Drama|Horror|Mystery,9000000.0,81700000.0
Atroz,2015,79,5.0,1000,Lex Ortega,"Lex Ortega, Sergio Tello",David Aboussafy|Abigail Bonilla|Ricardo Brito,Horror,7000.0,74.0
The Prodigy,2019,92,5.9,28000,Nicholas McCarthy,Jeff Buhler,Taylor Schilling|Jackson Robert Scott|Peter Mooney,Fantasy|Horror|Mystery,6000000.0,21200000.0
Navy Seals vs. Zombies,2015,97,3.3,2400,Stanton Barrett,"A.K. Waters, Matthew Carpenter",Ed Quinn|Michael Dudikoff|Rick Fox,Action|Horror,1181389.0,56191.0
Morgan,2016,92,5.8,46000,Luke Scott,Seth W. Owen,Kate Mara|Anya Taylor-Joy|Rose Leslie,Action|Horror|Sci-Fi,8000000.0,8810591.0
Overlord,2018,110,6.6,107000,Julius Avery,"Billy Ray, Mark L. Smith",Jovan Adepo|Wyatt Russell|Mathilde Ollivier,Action|Horror|Sci-Fi,38000000.0,41657844.0
The Last Witch,2015,94,3.2,114,Carlos Almón Muñoz,Carlos Almón Muñoz,Fernando Tato|Paula Pier|Clara Gayo,Horror,90000000.0,146936910.0
Five Nights at Freddy's,2023,109,5.5,94000,Emma Tammi,"Scott Cawthon, Seth Cuddeback, Emma Tammi",Josh Hutcherson|Piper Rubio|Elizabeth Lail,Horror|Mystery|Thriller,20000000.0,294803785.0
Gojira,1954,96,7.5,40000,Ishirô Honda,"Takeo Murata, Ishirô Honda, Shigeru Kayama",Takashi Shimura|Akihiko Hirata|Akira Takarada,Horror|Sci-Fi,900000.0,2250000.0
Monster from the Ocean Floor,1954,64,3.8,1000,Wyott Ordung,Bill Danch,Anne Kimbell|Stuart Wade|Dick Pinner,Horror|Sci-Fi,12000.0,117000.0
This Island Earth,1955,86,5.9,11000,"Joseph M. Newman, Jack Arnold","Franklin Coen, Raymond F. Jones, George Callahan",Jeff Morrow|Faith Domergue|Rex Reason,Horror|Mystery|Sci-Fi,800000.0,1700000.0
Invasion of the Body Snatchers,1956,80,7.7,55000,Don Siegel,"Daniel Mainwaring, Jack Finney, Richard Collins",Kevin McCarthy|Dana Wynter|Larry Gates,Drama|Horror|Sci-Fi,417000.0,3000000.0
The New Mutants,2020,94,5.3,90000,Josh Boone,"Josh Boone, Knate Lee",Maisie Williams|Anya Taylor-Joy|Charlie Heaton,Action|Horror|Mystery,67000000.0,49169594.0
The Craft: Legacy,2020,97,4.6,17000,Zoe Lister-Jones,"Zoe Lister-Jones, Peter Filardi",Cailee Spaeny|Zoey Luna|Gideon Adlon,Drama|Fantasy|Horror,18000000.0,2300000.0
It Comes at Night,2017,91,6.2,103000,Trey Edward Shults,Trey Edward Shults,Joel Edgerton|Christopher Abbott|Carmen Ejogo,Drama|Horror|Mystery,5000000.0,19280931.0
Demonte Colony,2015,116,7.0,2700,R. Ajay Gnanamuthu,R. Ajay Gnanamuthu,Arulnithi|Ramesh Thilak|Sananth,Horror|Thriller,240000.0,2000000.0
A Cure for Wellness,2016,146,6.4,110000,Gore Verbinski,"Justin Haythe, Gore Verbinski",Dane DeHaan|Jason Isaacs|Mia Goth,Drama|Fantasy|Horror,40000000.0,26620002.0
Unfriended: Dark Web,2018,92,6.0,38000,Stephen Susco,Stephen Susco,Colin Woodell|Stephanie Nogueras|Betty Gabriel,Horror|Mystery|Thriller,1000000.0,16000000.0
The Meg,2018,113,5.7,208000,Jon Turteltaub,"Dean Georgaris, Jon Hoeber, Erich Hoeber",Jason Statham|Bingbing Li|Rainn Wilson,Action|Horror|Sci-Fi,150000000.0,530517320.0
Lights Out,2016,81,6.3,143000,David F. Sandberg,"Eric Heisserer, David F. Sandberg",Teresa Palmer|Gabriel Bateman|Maria Bello,Horror|Mystery,4900000.0,148868835.0
The Id,2015,87,4.8,220,Thommy Hutson,Sean H. Stewart,Amanda Wyss|Patrick Peduto|Jamye Joseph,Horror|Thriller,3000000.0,21000000.0
Pikovaya dama. Chyornyy obryad,2015,92,5.3,1700,Svyatoslav Podgaevskiy,Svyatoslav Podgaevskiy,Alina Babak|Valeriya Dmitrieva|Igor Khripunov,Horror|Mystery|Thriller,1000000.0,2228115.0
The Curse of La Llorona,2019,93,5.3,58000,Michael Chaves,"Mikki Daughtry, Tobias Iaconis",Linda Cardellini|Raymond Cruz|Patricia Velasquez,Horror|Mystery|Thriller,9000000.0,122033739.0
Baskin,2015,97,5.8,12000,Can Evrenol,"Ogulcan Eren Akay, Can Evrenol, Ercin Sadikoglu",Mehmet Cerrahoglu|Görkem Kasal|Ergun Kuyucu,Horror|Thriller,350000.0,318155.0
Sorority House,2020,91,3.6,183,Jordan Pacheco,Jordan Pacheco,Sarah Nicklin|Lilith Astaroth|Allie Marshall,Horror,120000.0,70.0
Grave,2016,99,7.0,89000,Julia Ducournau,Julia Ducournau,Garance Marillier|Ella Rumpf|Rabah Nait Oufella,Drama|Horror,3500000.0,4100000.0
Dabbe (Dab6e),2015,160,5.5,3300,Hasan Karacadag,"Yasar Al, Hasan Karacadag",Elçin Atamgüç|Ömer Duran|Funda Eskioglu,Horror|Mystery,700000.0,3853240.0
Split,2016,117,7.3,555000,M. Night Shyamalan,M. Night Shyamalan,James McAvoy|Anya Taylor-Joy|Haley Lu Richardson,Horror|Thriller,9000000.0,278454358.0
The Forest,2016,109,6.4,326,Paul Spurrier,Paul Spurrier,Wannasa Wintawong|Tanapol Kamkunkam|Asanee Suwan,Drama|Fantasy|Horror,10000000.0,37608299.0
The Boo,2018,88,4.1,111,Scott McEntire,Scott McEntire,Brittany Sparkles|Clayton Bowman|Christopher Leigh,Drama|Horror|Thriller,4000000.0,378000000.0
Get Out,2017,104,7.8,699000,Jordan Peele,Jordan Peele,Daniel Kaluuya|Allison Williams|Bradley Whitford,Horror|Mystery|Thriller,4500000.0,255407969.0
Color Out of Space,2019,111,6.2,56000,Richard Stanley,"H.P. Lovecraft, Richard Stanley, Scarlett Amaris",Nicolas Cage|Joely Richardson|Madeleine Arthur,Horror|Mystery|Sci-Fi,6000000.0,1023510.0
Morbius,2022,104,5.1,154000,Daniel Espinosa,"Matt Sazama, Burk Sharpless",Jared Leto|Matt Smith|Adria Arjona,Action|Adventure|Horror,75000000.0,167635712.0
Deda!,2017,121,6.6,250000,Darren Aronofsky,Darren Aronofsky,Jennifer Lawrence|Javier Bardem|Ed Harris,Drama|Horror|Mystery,11500000.0,94100000.0
Lover,2018,80,5.3,727,Ralph Sepe,Ralph Sepe,Ralph Sepe|Victoria Beaudoin|Davinder Singh,Horror|Romance|Thriller,7110000.0,4248574.0
Annabelle: Creation,2017,109,6.5,151000,David F. Sandberg,Gary Dauberman,Anthony LaPaglia|Samara Lee|Miranda Otto,Horror|Mystery|Thriller,15000000.0,306592201.0
Charlie Charlie,2016,85,2.3,1300,Derek Presley,"Derek Presley, Cody Berry, Tom Zembrod",Mason Dauti|Abby Joy|Marissa Chibli,Comedy|Horror,92000000.0,264100000.0
Gokseong,2016,156,7.4,82000,Na Hong-jin,Na Hong-jin,Jun Kunimura|Hwang Jung-min|Kwak Do-won,Drama|Horror|Mystery,10951000.0,49851770.0
Seizure,2016,86,3.6,164,"Jamie Cymbal, Ryan Simons",Ryan Simons,Jimmy Allen|Lindsay Bennett-Thompson|Chris Blackwood,Horror,1.0,1.0
Córki dancingu,2015,92,6.3,9800,Agnieszka Smoczynska,Robert Bolesto,Marta Mazurek|Michalina Olszanska|Kinga Preis,Drama|Fantasy|Horror,1300000.0,102986.0
Happy Death Day,2017,96,6.6,163000,Christopher Landon,Scott Lobdell,Jessica Rothe|Israel Broussard|Ruby Modine,Comedy|Horror|Mystery,4800000.0,125500000.0
Wish Upon,2017,90,5.1,23000,John R. Leonetti,Barbara Marshall,Joey King|Ryan Phillippe|Ki Hong Lee,Drama|Fantasy|Horror,12000000.0,14300000.0
Boo! A Madea Halloween,2016,103,4.6,9300,Tyler Perry,Tyler Perry,Tyler Perry|Cassi Davis|Patrice Lovely,Comedy|Drama|Horror,20000000.0,74827344.0
Life,2017,104,6.6,254000,Daniel Espinosa,"Rhett Reese, Paul Wernick",Jake Gyllenhaal|Rebecca Ferguson|Ryan Reynolds,Horror|Sci-Fi|Thriller,58000000.0,100541806.0
Oru Murai Vanthu Paarthaya,2016,151,5.3,289,Sajan K. Mathew,Abhilash Sreedharan,Unni Mukundan|Prayaga Martin|Sanusha,Comedy|Horror|Romance,300000.0,300000.0
Munafik,2016,98,6.6,1100,Syamsul Yusof,Syamsul Yusof,Syamsul Yusof|Nabila Huda|Sabrina Ali,Horror|Mystery|Thriller,393894.0,1058591.0
Doctor Sleep,2019,152,7.3,219000,Mike Flanagan,"Mike Flanagan, Stephen King",Ewan McGregor|Rebecca Ferguson|Kyliegh Curran,Drama|Fantasy|Horror,45000000.0,72381712.0
The Ritual,2017,94,6.3,120000,David Bruckner,"Joe Barton, Adam Nevill",Rafe Spall|Arsher Ali|Robert James-Collier,Horror|Mystery|Thriller,1000000.0,1786396.0
Dead Trigger,2017,91,3.2,1400,"Mike Cuff, Scott Windhauser","Heinz Treschnitzer, Mike Cuff, Scott Windhauser",Dolph Lundgren|Autumn Reeser|Brooke Johnston,Action|Horror|Sci-Fi,10000000.0,151493.0
The Recall,2017,90,4.1,9400,Mauro Borrelli,"Mauro Borrelli, Reggie Keyohara III, Sam Acton King",Wesley Snipes|RJ Mitte|Jedidiah Goodacre,Action|Horror|Mystery,5000000.0,1319566.0
Puppet Master: The Littlest Reich,2018,90,5.4,4500,"Sonny Laguna, Tommy Wiklund","S. Craig Zahler, Charles Band, Kenneth J. Hall",Thomas Lennon|Jenny Pellicer|Nelson Franklin,Comedy|Horror,2500000.0,780846.0
Slender Man,2018,93,3.3,38000,Sylvain White,"David Birke, Victor Surge",Joey King|Julia Goldani Telles|Jaz Sinclair,Horror|Mystery|Thriller,10000000.0,11817275.0
Busanhaeng,2016,118,7.6,259000,Yeon Sang-ho,"Joo-Suk Park, Yeon Sang-ho",Gong Yoo|Jung Yu-mi|Ma Dong-seok,Action|Horror|Thriller,8500000.0,87547518.0
The Killing of a Sacred Deer,2017,121,7.0,188000,Yorgos Lanthimos,"Yorgos Lanthimos, Efthimis Filippou",Barry G. Bernson|Herb Caillouet|Bill Camp,Drama|Horror|Mystery,3000000.0,10700000.0
Maligno,2016,87,5.5,101,"Paco Bardales, Martin Casapía Casanova","Rogger Vergara Adrianzén, Paco Bardales, Alberto Castro",Sofía Rocha|Fiorella Pennano|Gino Pesaressi,Horror|Mystery,150000.0,400000.0
Insidious: The Last Key,2018,103,5.7,72000,Adam Robitel,Leigh Whannell,Lin Shaye|Leigh Whannell|Angus Sampson,Horror|Mystery|Thriller,10000000.0,172811971.0
The Possession of Hannah Grace,2018,86,5.2,26000,Diederik Van Rooijen,Brian Sieve,Shay Mitchell|Grey Damon|Kirby Johnson,Horror|Mystery|Thriller,9500000.0,43000000.0
Underwater,2020,95,5.9,97000,William Eubank,"Brian Duffield, Adam Cozad",Kristen Stewart|Vincent Cassel|Mamoudou Athie,Action|Horror|Sci-Fi,50000000.0,40882928.0
The Nun,2018,96,5.3,171000,Corin Hardy,"Gary Dauberman, James Wan",Demián Bichir|Taissa Farmiga|Jonas Bloquet,Horror|Mystery|Thriller,22000000.0,366082797.0
The Empty Man,2020,137,6.2,39000,David Prior,"David Prior, Cullen Bunn",James Badge Dale|Marin Ireland|Sasha Frolova,Drama|Horror|Mystery,16000000.0,4796993.0
Escape Room,2019,99,6.4,142000,Adam Robitel,"Bragi F. Schut, Maria Melnik",Taylor Russell|Logan Miller|Jay Ellis,Action|Adventure|Horror,9000000.0,155712077.0
Marrowbone,2017,110,6.7,40000,Sergio G. Sánchez,Sergio G. Sánchez,George MacKay|Anya Taylor-Joy|Charlie Heaton,Drama|Horror|Mystery,8000000.0,12294931.0
Ezra,2017,147,6.6,3100,Jay.k,"Manu Gopal, Jay.k, Jai Krishna",Prithviraj Sukumaran|Priya Anand|Tovino Thomas,Horror|Mystery|Thriller,1500000.0,7800000.0
Possessor,2020,103,6.5,46000,Brandon Cronenberg,Brandon Cronenberg,Andrea Riseborough|Christopher Abbott|Jennifer Jason Leigh,Horror|Mystery|Sci-Fi,2500000.0,911000.0
Captive State,2019,109,6.0,58000,Rupert Wyatt,"Erica Beeney, Rupert Wyatt",John Goodman|Ashton Sanders|Jonathan Majors,Action|Horror|Sci-Fi,25000000.0,8808611.0
The 13th Friday,2017,95,2.4,1300,Tristan Price,Tristan Price,Lisa May|Deanna Grace Congo|Jose Zuniga,Horror|Thriller,550000.0,59754601.0
The Night Before,2017,81,4.2,190,Brett Bentman,Brett Bentman,Steven Michael Quezada|Rachel G. Whittle|Tom Zembrod,Horror,25000000.0,52395996.0
Acrimony,2018,120,5.9,10000,Tyler Perry,Tyler Perry,Taraji P. Henson|Lyriq Bent|Crystle Stewart,Drama|Horror|Romance,20000000.0,34800000.0
Dora,2017,139,5.3,953,Dass Ramasamy,"Dass Ramasamy, Gautam Siddharth",Nayanthara|Harish Uthaman|Thambi Ramaiah,Action|Horror|Thriller,8000000.0,61400000.0
Nevesta,2017,95,4.6,3000,Svyatoslav Podgaevskiy,Svyatoslav Podgaevskiy,Viktoriya Agalakova|Vyacheslav Chepurchenko|Aleksandra Rebenok,Drama|Horror|Mystery,25000000.0,50671850.0
The First Purge,2018,97,5.2,71000,Gerard McMurray,James DeMonaco,Y'lan Noel|Lex Scott Davis|Joivan Wade,Action|Horror|Sci-Fi,13000000.0,137056262.0
White Noise,2022,136,5.7,45000,Noah Baumbach,"Noah Baumbach, Don DeLillo",Adam Driver|Greta Gerwig|Don Cheadle,Comedy|Drama|Horror,100000000.0,71476.0
