original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Bram Stoker's Dracula,Bram Stoker's Dracula,en,1992-11-13,45,4172,7,40000000,215862692,128,"Horror, Romance",1992
Ouija,Ouija,en,2014-10-24,45,2393,5,5000000,103590271,89,Horror,2014
The Grudge,The Grudge,en,2004-10-22,44,2486,5,10000000,183474602,92,"Horror, Mystery, Thriller",2004
[REC]³ Génesis,[REC]³ Genesis,es,2012-03-30,44,1221,5,6400000,11019975,80,Horror,2012
Saw V,Saw V,en,2008-10-23,44,2815,6,10800000,113864059,95,"Crime, Horror, Thriller",2008
A Nightmare on Elm Street,A Nightmare on Elm Street,en,1984-11-09,44,4150,7,1800000,25685134,91,Horror,1984
Fright Night,Fright Night,en,1985-08-02,44,1059,7,9000000,24922237,106,"Comedy, Horror",1985
"As Above, So Below","As Above, So Below",en,2014-08-14,44,2774,6,5000000,40100000,93,"Horror, Thriller",2014
Night of the Living Dead,Night of the Living Dead,en,1990-10-19,43,686,6,4200000,5835247,88,"Horror, Thriller",1990
Scary Stories to Tell in the Dark,Scary Stories to Tell in the Dark,en,2019-08-08,43,2208,6,25000000,95438172,108,"Horror, Thriller",2019
The Wolf of Snow Hollow,The Wolf of Snow Hollow,en,2020-10-23,43,265,6,2000000,239828,84,"Horror, Thriller",2020
Pet Sematary,Pet Sematary,en,1989-04-21,43,1748,6,11500000,57469467,103,"Drama, Horror",1989
Interview with the Vampire,Interview with the Vampire,en,1994-11-11,42,4852,7,60000000,223664608,123,"Drama, Fantasy, Horror",1994
Saw VI,Saw VI,en,2009-10-16,42,2559,6,11000000,68234154,96,"Horror, Mystery",2009
Scream 4,Scream 4,en,2011-04-11,42,2801,6,40000000,97231420,111,"Horror, Mystery",2011
Cursed,Cursed,en,2005-02-25,42,577,5,35000000,19294901,97,"Comedy, Horror",2005
Psycho,Psycho,en,1960-06-22,42,8452,8,806947,50000000,109,"Drama, Horror, Thriller",1960
Dawn of the Dead,Dawn of the Dead,en,2004-03-19,41,3254,7,26000000,102278712,101,"Action, Horror",2004
An American Werewolf in London,An American Werewolf in London,en,1981-08-21,41,1887,7,10000000,31973249,97,"Comedy, Horror",1981
Us,Us,en,2019-03-14,41,6169,7,20000000,255105930,116,"Horror, Mystery, Thriller",2019
Brightburn,Brightburn,en,2019-05-09,41,2566,6,6000000,32893421,91,"Horror, Science Fiction, Thriller",2019
Army of Darkness,Army of Darkness,en,1992-10-31,41,2495,7,11000000,21502976,81,"Comedy, Fantasy, Horror",1992
Martyrs,Martyrs,fr,2008-09-03,41,2142,7,6500000,1100000,99,"Drama, Horror, Thriller",2008
Halloween H20: 20 Years Later,Halloween H20: 20 Years Later,en,1998-08-05,41,1302,6,17000000,75000000,86,"Horror, Thriller",1998
P2,P2,en,2007-11-09,41,671,6,3500000,7766240,98,"Horror, Thriller",2007
The Descent,The Descent,en,2005-07-08,40,3123,6,3500000,57130027,99,"Adventure, Horror",2005
Anaconda,Anaconda,en,1997-04-11,40,2075,5,45000000,136885767,89,"Adventure, Horror, Thriller",1997
Leprechaun,Leprechaun,en,1993-01-08,40,600,5,900000,8556940,91,"Comedy, Horror",1993
Poltergeist,Poltergeist,en,1982-06-04,40,2416,7,10700000,122200000,114,Horror,1982
