ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
912,Pandorum,2009,108,6.7,160000,Christian Alvart,"Travis Milloy, Christian Alvart",Dennis Quaid|Ben Foster|Cam Gigandet,Action|Horror|Mystery,33000000,20648328
913,Sputnik,2020,113,6.4,27000,Egor Abramenko,"Oleg Malovichko, Andrey Zolotarev",Oksana Akinshina|Fedor Bondarchuk|Pyotr Fyodorov,Drama|Horror|Mystery,2600000,354023
914,Ouija,2014,89,4.5,57000,Stiles White,"Juliet Snowden, Stiles White, Occultum Luciferus",Olivia Cooke|Ana Coto|Daren Kagasoff,Horror|Mystery|Thriller,5000000,103600000
915,The Rain,2009,108,3.8,458,Douglas Schulze,"Kurt Eli Mayry, Douglas Schulze, Mark C. Schwarz",David Carradine|Richard Lynch|Dee Wallace,Horror,2540800,7200000
916,Godzilla,1957,92,7.2,124,Ishirô Honda,"Michel Gast, Bruno Guillaume, Ishirô Honda",Raymond Burr|Toyoaki Suzuki|Frank Iwanaga,Horror|Sci-Fi,900000,2250000
917,The Fourth Kind,2009,98,5.9,82000,Olatunde Osunsanmi,"Olatunde Osunsanmi, Terry Robbins",Milla Jovovich|Elias Koteas|Will Patton,Horror|Mystery|Sci-Fi,10000000,47709193
918,Resident Evil: Afterlife,2010,96,5.8,179000,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich|Ali Larter|Wentworth Miller,Action|Horror|Sci-Fi,60000000,300200000
919,Alive or Dead,2008,83,3.1,872,Stephen Goetsch,Stephen Goetsch,Ann Henson|Angelica May|Flint Esquerra,Horror,21000000,7600000
920,Pontypool,2008,93,6.5,36000,Bruce McDonald,Tony Burgess,Stephen McHattie|Lisa Houle|Georgina Reilly,Horror|Sci-Fi,1500000,32000
921,Let Me In,2010,116,7.1,127000,Matt Reeves,"Matt Reeves, John Ajvide Lindqvist",Kodi Smit-McPhee|Chloë Grace Moretz|Richard Jenkins,Drama|Fantasy|Horror,20000000,24145613
922,Sorority Row,2009,101,5.1,32000,Stewart Hendler,"Josh Stolberg, Pete Goldfinger, Mark Rosman",Briana Evigan|Rumer Willis|Carrie Fisher,Horror|Mystery,12500000,27200000
923,Saw VI,2009,90,6.0,125000,Kevin Greutert,"Patrick Melton, Marcus Dunstan",Tobin Bell|Costas Mandylor|Mark Rolston,Horror|Mystery|Thriller,11000000,68234154
924,Climax,2020,52,2.1,373,Ram Gopal Varma,,Mia Malkova|Renan Severo,Action|Horror|Thriller,2900000,1700000
925,The Twin,2022,109,5.1,4200,Taneli Mustonen,"Aleksi Hyvärinen, Taneli Mustonen",Teresa Palmer|Steven Cree|Barbara Marten,Drama|Horror|Mystery,2620000,492000
926,I Spit on Your Grave,2010,108,6.2,93000,Steven R. Monroe,"Adam Rockoff, Meir Zarchi",Sarah Butler|Jeff Branson|Andrew Howard,Horror|Thriller,2000000,572809
927,[Rec]²,2009,85,6.5,79000,"Jaume Balagueró, Paco Plaza","Jaume Balagueró, Manu Díaz, Paco Plaza",Jonathan D. Mellor|Manuela Velasco|Óscar Zafra,Horror|Thriller,5600000,18469680
928,Open Your Eyes,2021,99,4.2,186,Greg A. Sager,Greg A. Sager,Ry Barrett|Joanna Saul|Julianna Suzanne Bailey,Drama|Horror|Mystery,2900000,370720
929,Pahanhautoja,2022,91,6.2,15000,Hanna Bergholm,"Hanna Bergholm, Ilja Rautsi",Siiri Solalinna|Sophia Heikkilä|Jani Volanen,Drama|Fantasy|Horror,3896000,508000
930,The Cabin in the Woods,2011,95,7.0,451000,Drew Goddard,"Joss Whedon, Drew Goddard",Kristen Connolly|Chris Hemsworth|Anna Hutchison,Horror|Mystery|Thriller,30000000,71038838
931,Time's Up,2022,82,4.6,120,L.C. Holt,L.C. Holt,Damian Maffei|Hannah Fierman|L.C. Holt,Horror,5000000,5380118
932,Doctor Jekyll,2023,90,5.0,220,Joe Stephenson,"Dan Kelly-Mulhern, Robert Louis Stevenson",Eddie Izzard|Scott Chambers|Lindsay Duncan,Drama|Horror|Mystery,625000,21524
933,The Roommate,2011,94,4.8,41000,Christian E. Christiansen,Sonny Mallhi,Minka Kelly|Leighton Meester|Cam Gigandet,Drama|Horror|Thriller,16000000,52545707
934,Phoonk,2008,110,4.0,1400,Ram Gopal Varma,"Milind Gadagkar, Sandeep Nath, Prashant Pandey",Sudeep|Amruta Khanvilkar|Ahsaas Channa,Drama|Horror|Mystery,750000,2760000
935,Don't Be Afraid of the Dark,2010,99,5.5,51000,Troy Nixey,"Guillermo del Toro, Matthew Robbins, Nigel McKeand",Katie Holmes|Guy Pearce|Bailee Madison,Fantasy|Horror|Thriller,25000000,36993168
936,Hatchet II,2010,85,5.5,15000,Adam Green,Adam Green,Danielle Harris|Kane Hodder|Tony Todd,Action|Comedy|Horror,2500000,156190
937,Host,2020,57,6.5,40000,Rob Savage,"Gemma Hurley, Rob Savage, Jed Shepherd",Haley Bishop|Jemma Moore|Emma Louise Webb,Horror|Mystery,100000,443807
938,Død snø,2009,92,6.3,70000,Tommy Wirkola,"Tommy Wirkola, Stig Frode Henriksen",Jeppe Beck Laursen|Charlotte Frogner|Jenny Skavlan,Comedy|Fantasy|Horror,800000,2166797
939,The Strangers: Prey at Night,2018,85,5.2,35000,Johannes Roberts,"Bryan Bertino, Ben Ketai",Christina Hendricks|Martin Henderson|Bailee Madison,Horror,12500000,31039126
940,Zombie Reddy,2021,130,6.6,3100,Prasanth Varma,"Tajuddin Syed, Prasanth Varma",Teja Sajja|Anandhi|Daksha Nagarkar,Action|Comedy|Horror,547127,1412957
941,The Invitation,2022,105,5.3,32000,Jessica M. Thompson,Blair Butler,Nathalie Emmanuel|Thomas Doherty|Sean Pertwee,Horror|Thriller,10000000,33628000
942,Evil Dead,2013,91,6.5,197000,Fede Alvarez,"Fede Alvarez, Rodo Sayagues, Sam Raimi",Jane Levy|Shiloh Fernandez|Jessica Lucas,Horror,17000000,97542952
943,The Exorcist: Believer,2023,111,4.8,39000,David Gordon Green,"Peter Sattler, David Gordon Green, Scott Teems",Lafortune Joseph|Leslie Odom Jr.|Gastner Legerme,Horror,30000000,136284218
944,Halloween II,2009,105,4.8,60000,Rob Zombie,Rob Zombie,Scout Taylor-Compton|Tyler Mane|Malcolm McDowell,Horror,10000000,39421467
945,The Last Exorcism,2010,87,5.7,52000,Daniel Stamm,"Huck Botko, Andrew Gurland",Patrick Fabian|Ashley Bell|Iris Bahr,Horror|Mystery|Thriller,1800000,69400000
946,La última muerte,2011,104,5.5,413,David Ruiz,"Alexis Fridman, Gaël Geneau, Fernando Rovzar",Kuno Becker|Álvaro Guerrero|Carlos Bracho,Action|Drama|Horror,11000000,39363635
947,Umma,2022,83,4.7,11000,Iris K. Shim,Iris K. Shim,Sandra Oh|Fivel Stewart|Dermot Mulroney,Drama|Horror|Mystery,3000000,2100000
948,Cyrus,2010,87,4.6,1100,Mark Vadik,Mark Vadik,Tiffany Shepis|Max Lesser|Brooke Parker,Crime|Horror|Mystery,7000000,9900000
949,Evil Dead Rise,2023,96,6.5,137000,Lee Cronin,Lee Cronin,Mirabai Pease|Richard Crouchley|Anna-Maree Thomas,Horror,15000000,146700000
950,The Pope's Exorcist,2023,103,6.1,83000,Julius Avery,"Michael Petroni, Evan Spiliotopoulos, R. Dean McCreary",Russell Crowe|Daniel Zovatto|Alexandra Essoe,Horror|Thriller,18000000,76987621
951,Insidious: The Red Door,2023,107,5.5,51000,Patrick Wilson,"Leigh Whannell, Scott Teems",Ty Simpkins|Patrick Wilson|Rose Byrne,Horror|Mystery|Thriller,16000000,189086877
952,Raaz: The Mystery Continues,2009,151,5.7,4000,Mohit Suri,"Kumaar, Sayeed Qadri, Shagufta Rafique",Kangana Ranaut|Adhyayan Suman|Emraan Hashmi,Horror|Mystery|Romance,6250000,8000000
953,Skjult,2009,95,5.6,3100,Pål Øie,Pål Øie,Kristoffer Joner|Cecilie A. Mosli|Bjarte Hjelmeland,Horror|Thriller,2215773,1489526
954,Beau Is Afraid,2023,179,6.7,61000,Ari Aster,Ari Aster,Joaquin Phoenix|Patti LuPone|Amy Ryan,Comedy|Drama|Horror,35000000,12337378
955,X,2022,105,6.5,174000,Ti West,Ti West,Mia Goth|Jenna Ortega|Brittany Snow,Horror|Mystery|Thriller,1000000,15113105
956,Arundhati,2009,131,7.4,3400,Kodi Ramakrishna,"Ramana Chintapally, Manav Mahapatra, M. Shyam Prasad Reddy",Anushka Shetty|Sonu Sood|Divya Nagesh,Horror|Mystery|Thriller,2915739,14000000
957,Dashcam,2021,82,4.8,730,Christian Nilsson,Christian Nilsson,Zachary Booth|Eric Tabach|Larry Fessenden,Horror|Thriller,100000,58156
958,The Ward,2010,89,5.5,45000,John Carpenter,"Michael Rasmussen, Shawn Rasmussen",Amber Heard|Mamie Gummer|Danielle Panabaker,Horror|Mystery|Thriller,10000000,5343820
959,Yulenka,2009,102,5.0,1100,Aleksandr Strizhenov,"Andrei Kureichik, Grigoriy Podzemelnyy, Valentin Spiridonov",Marat Basharov|Darya Balabanova|Aleksandra Dykhne,Drama|Horror|Mystery,5000000,3084844
960,Men,2022,100,6.1,64000,Alex Garland,Alex Garland,Jessie Buckley|Rory Kinnear|Paapa Essiedu,Drama|Fantasy|Horror,6500000,11152071
961,Haunted,2014,102,4.7,2800,Victor Salva,"Charles Agron, Victor Salva",Luke Kleintank|Alex McKenna|Anthony Rey Perez,Horror|Mystery|Thriller,15000,45000
962,Passion Play,2010,94,4.5,8700,Mitch Glazer,Mitch Glazer,Mickey Rourke|Megan Fox|Bill Murray,Drama|Fantasy|Horror,8000000,25603
963,It,2017,135,7.3,607000,Andy Muschietti,"Chase Palmer, Cary Joji Fukunaga, Gary Dauberman",Bill Skarsgård|Jaeden Martell|Finn Wolfhard,Fantasy|Horror,35000000,703000000
