original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Return of the Living Dead III,Return of the Living Dead III,en,1993-10-01,27.871,683.0,6.6,2000000.0,54207.0,97.0,"Horror, Science Fiction",1993
The Thing,The Thing,en,2011-10-12,27.719,2390.0,6.2,35000000.0,31505287.0,103.0,"Horror, Mystery, Science Fiction, Thriller",2011
47 Meters Down,47 Meters Down,en,2017-05-25,27.688,2406.0,5.8,5500000.0,44235023.0,89.0,"Adventure, Drama, Horror, Thriller",2017
The Visit,The Visit,en,2015-09-10,27.653,4012.0,6.3,5000000.0,98450062.0,94.0,"Horror, Mystery, Thriller",2015
リング,Ringu,ja,1998-01-30,27.596,1072.0,7.1,1200000.0,19400000.0,96.0,"Horror, Thriller",1998
The Omen,The Omen,en,1976-06-25,27.545,1590.0,7.4,2800000.0,60922980.0,111.0,"Horror, Thriller",1976
The Others,The Others,en,2001-08-02,27.543,5398.0,7.6,17000000.0,209947037.0,101.0,"Horror, Mystery, Thriller",2001
1408,1408,en,2007-06-22,27.515,3579.0,6.7,25000000.0,132963417.0,104.0,"Horror, Mystery",2007
Devil,Devil,en,2010-09-16,27.48,2466.0,6.0,10000000.0,33583175.0,80.0,"Horror, Mystery, Thriller",2010
The Collector,The Collector,en,2009-07-09,27.476,1194.0,6.6,3400000.0,114000000.0,88.0,"Horror, Thriller",2009
Oculus,Oculus,en,2013-09-08,27.473,2536.0,6.4,5000000.0,44459951.0,104.0,Horror,2013
The Rite,The Rite,en,2011-01-28,27.4,1786.0,6.1,37000000.0,96047633.0,114.0,"Drama, Horror, Thriller",2011
The Strangers,The Strangers,en,2008-05-29,27.332,2000.0,6.1,9000000.0,82391145.0,86.0,"Horror, Mystery, Thriller",2008
Triangle,Triangle,en,2009-10-16,27.252,2003.0,6.9,12000000.0,1594955.0,99.0,Horror,2009
The Woman in Black 2: Angel of Death,The Woman in Black 2: Angel of Death,en,2014-12-30,27.191,908.0,5.2,15000000.0,48854305.0,98.0,"Drama, Horror, Thriller",2014
Death Becomes Her,Death Becomes Her,en,1992-07-30,27.116,2148.0,6.8,55000000.0,149022650.0,104.0,"Comedy, Fantasy, Horror",1992
The Fog,The Fog,en,1980-02-08,26.999,1166.0,6.7,1000000.0,21378361.0,89.0,Horror,1980
Case 39,Case 39,en,2009-08-13,26.995,1935.0,6.3,27000000.0,29000000.0,109.0,"Horror, Mystery, Thriller",2009
Firestarter,Firestarter,en,2022-05-12,26.989,373.0,6.0,12000000.0,10593000.0,94.0,"Drama, Horror, Science Fiction, Thriller",2022
Paranormal Activity 4,Paranormal Activity 4,en,2012-10-17,26.924,1619.0,5.4,5000000.0,142817992.0,97.0,Horror,2012
Alien Resurrection,Alien Resurrection,en,1997-11-12,26.916,3981.0,6.1,70000000.0,162000000.0,109.0,"Action, Horror, Science Fiction",1997
Eden Lake,Eden Lake,en,2008-09-12,26.874,1388.0,6.8,12850990.0,3984669.0,91.0,"Horror, Thriller",2008
Krampus,Krampus,en,2015-11-26,26.847,1709.0,6.1,15000000.0,61788393.0,98.0,"Comedy, Fantasy, Horror",2015
You're Next,You're Next,en,2011-09-10,26.774,2041.0,6.6,1000000.0,14347000.0,94.0,"Horror, Mystery, Thriller",2011
The Invitation,The Invitation,en,2015-08-05,26.766,2195.0,6.5,1000000.0,354835.0,100.0,"Horror, Thriller",2015
House,House,en,1986-02-27,26.73,433.0,6.1,3000000.0,19444631.0,93.0,"Comedy, Horror",1986
Unfriended,Unfriended,en,2014-10-22,26.72,2994.0,5.5,1000000.0,62882090.0,82.0,"Horror, Mystery, Thriller",2014
Little Nicky,Little Nicky,en,2000-11-10,26.422,1520.0,5.9,85000000.0,58292295.0,90.0,"Comedy, Fantasy, Horror, Romance",2000
Christine,Christine,en,1983-05-11,26.38,1571.0,6.8,9700000.0,21200000.0,110.0,Horror,1983
10 Cloverfield Lane,10 Cloverfield Lane,en,2016-03-10,26.205,6808.0,7.0,15000000.0,108286421.0,104.0,"Drama, Horror, Science Fiction, Thriller",2016
Jaws 2,Jaws 2,en,1978-06-16,26.18,1540.0,5.9,20000000.0,187884007.0,116.0,"Horror, Thriller",1978
Suspiria,Suspiria,en,2018-10-11,26.178,2075.0,6.9,20000000.0,6348889.0,152.0,"Drama, Fantasy, Horror, Thriller",2018
Twin Peaks: Fire Walk with Me,Twin Peaks: Fire Walk with Me,en,1992-06-03,26.068,1553.0,7.3,10000000.0,4160851.0,135.0,"Drama, Horror, Mystery",1992
Piranha 3DD,Piranha 3DD,en,2012-05-11,26.066,854.0,4.3,5000000.0,8493728.0,83.0,"Comedy, Horror, Thriller",2012
Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,en,2016-02-04,26.04,1920.0,6.1,28000000.0,16457494.0,108.0,"Comedy, Horror, Romance, Thriller",2016
Mandy,Mandy,en,2018-09-13,25.83,1537.0,6.2,6000000.0,1214525.0,122.0,"Action, Fantasy, Horror, Thriller",2018
From Dusk Till Dawn,From Dusk Till Dawn,en,1996-01-19,25.818,4977.0,7.0,19000000.0,25836616.0,108.0,"Action, Crime, Horror, Thriller",1996
Wolf Creek,Wolf Creek,en,2005-09-16,25.809,908.0,6.2,1000000.0,27762648.0,104.0,"Horror, Thriller",2005
Exorcist: The Beginning,Exorcist: The Beginning,en,2004-08-20,25.745,621.0,5.4,80000000.0,78000586.0,114.0,"Horror, Mystery, Thriller",2004
From Hell,From Hell,en,2001-02-08,25.656,2380.0,6.7,35000000.0,74558115.0,122.0,"Horror, Mystery, Thriller",2001
Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,en,2007-01-25,25.646,5091.0,7.2,50000000.0,152000000.0,116.0,"Drama, Horror",2007
The Messengers,The Messengers,en,2007-02-02,25.592,677.0,5.7,16000000.0,55060212.0,90.0,"Horror, Mystery, Thriller",2007
Resident Evil: Apocalypse,Resident Evil: Apocalypse,en,2004-09-10,25.504,3635.0,6.3,45000000.0,129394835.0,94.0,"Action, Horror, Science Fiction",2004
The Pyramid,The Pyramid,en,2014-12-04,25.486,857.0,5.2,6500000.0,16861137.0,89.0,Horror,2014
