registration_number,postal_code,transaction_value,transaction_date,built_area,latitude,longitude,neighborhood
4924801151.0,04295-010,590000,2021-12-28,149,-23.6161778,-46.6076526,Vila Vera
11036200336.0,03671-000,500000,2022-01-07,110,-23.5166517,-46.50438,Jardim Popular
15118100177.0,08340-320,270000,2021-12-29,173,-23.6161814,-46.4564841,Jardim Vila Carrao
7024300221.0,02338-050,1000000,2022-01-07,300,-23.4743107,-46.6175998,Água Fria
14024000259.0,08230-780,396000,2022-01-14,110,-23.5168918,-46.44562699999999,Vila Verde
5203700737.0,03187-010,350000,2021-12-20,83,-23.5631714,-46.5788047,Vila Bertioga
12114901393.0,04459-000,490000,2022-01-07,130,-23.6929086,-46.673401,Pedreira
13609400071.0,08412-170,200000,2022-01-14,110,-23.5571031,-46.4079259,Jardim Sao Paulo(Zona Leste)
15709000050.0,04193-160,150000,2022-01-11,125,-23.6505255,-46.61091529999999,Parque Bristol
15009100826.0,03958-010,330000,2022-01-04,92,-23.5971071,-46.48603620000001,Cidade São Mateus
14506800108.0,08280-280,297564,2022-01-10,58,-23.5626151,-46.4698031,Cidade Líder
4009702151.0,04211-000,1100000,2022-01-05,267,-23.5883981,-46.6082554,Ipiranga
8606800104.0,04613-003,3000000,2022-01-14,260,-23.615792,-46.6709867,Campo Belo
5720500073.0,03521-030,710000,2022-01-17,285,-23.5489976,-46.5179874,Vila Dalila
10505300124.0,05159-100,600000,2021-12-10,204,-23.4865225,-46.7518542,Jardim Vista Linda
13110600111.0,03813-000,572000,2022-01-13,300,-23.4894558,-46.4711896,Jardim Matarazzo
11279400195.0,08071-190,430000,2022-01-17,80,-23.4891546,-46.4495902,Jardim Lapena
3505906913.0,01549-020,1250000,2022-01-10,227,-23.5764475,-46.6148278,Vila Monumento
11017800676.0,03759-020,420000,2021-12-30,100,-23.5043577,-46.4929519,Jardim Penha
4728507513.0,04054-070,900000,2022-01-13,165,-23.616379,-46.6417224,Vila da Saúde
18701401792.0,05207-070,127500,2022-01-11,56,-23.3988003,-46.7558594,Vila Caiuba
5325400843.0,03377-037,390000,2022-01-06,141,-23.5756172,-46.5437592,Chácara Belenzinho
15503800396.0,03922-120,500000,2022-01-14,137,-23.595278,-46.5158107,Parque dos Bancarios
11401400311.0,08245-090,280000,2022-01-10,64,-23.5234404,-46.4374827,Vila Progresso (Zona Leste)
12321000510.0,05657-010,3587308,2022-01-10,972,-23.6161213,-46.7171549,Fazenda Morumbi
30107100689.0,05707-001,2860000,2022-01-13,266,-23.6393991,-46.7271497,Parque do Morumbi
11135300282.0,03814-080,145000,2022-01-13,100,-23.4880516,-46.4810337,Jardim Matarazzo
7202305550.0,02460-080,530000,2022-01-11,127,-23.4878057,-46.642024,Santa Teresinha
17516300194.0,04821-035,425000,2022-01-11,73,-23.7308679,-46.6881078,Jardim Colonial
6412403809.0,02130-040,575000,2022-01-05,123,-23.5084774,-46.5849184,Vila Maria Alta
11733800572.0,03275-000,425000,2021-12-29,70,-23.5839765,-46.5418475,Vila Ivone
11022600825.0,03627-030,450000,2022-01-12,139,-23.5123266,-46.5064855,Vila Buenos Aires
14908800201.0,03934-100,450000,2021-12-29,272,-23.5902473,-46.49969,Jardim Imperador (Zona Leste)
20101201050.0,05570-230,350000,2022-01-07,117,-23.603159,-46.797819,Jardim Amaralina
13813800643.0,08431-360,320000,2022-01-07,176,-23.5394622,-46.4171128,Jardim Guaianazes
4601100471.0,04125-040,570000,2022-01-11,109,-23.5993074,-46.6190354,Vila Firmiano Pinto
16620500128.0,05848-110,238831,2022-01-11,60,-23.6575576,-46.7606963,Jardim Germania
11157602443.0,08062-007,200000,2022-01-13,56,-23.5087598,-46.4709166,Vila Monte Santo
5200200431.0,03344-015,1400000,2022-01-13,322,-23.5581671,-46.5760158,Vila Regente Feijó
14725500517.0,03570-300,329000,2021-12-20,40,-23.5675706,-46.48566779999999,Parque Savoy City
9425200149.0,04921-140,607000,2022-01-11,141,-23.6949862,-46.7518542,Jardim Marquesa
10109100866.0,05365-040,580000,2022-01-07,130,-23.5758599,-46.7467158,Vila Polopoli
11509400302.0,08420-600,200000,2022-01-13,146,-23.5436009,-46.42819249999999,Jardim Helena
5226500513.0,03191-140,740000,2022-01-10,126,-23.5663986,-46.5717999,Vila Canero
9309600829.0,04763-210,400000,2022-01-15,111,-23.6681108,-46.7199225,Socorro
11344800768.0,03669-010,340000,2022-01-12,69,-23.5320043,-46.490754,Vila Ré
16016901082.0,05372-111,820000,2022-01-11,118,-23.5811993,-46.7667432,Jardim Ester
9530900465.0,04776-002,854000,2022-01-12,135,-23.6846328,-46.702928,Socorro
5004702187.0,04215-020,840000,2022-01-12,191,-23.5947868,-46.6009058,Ipiranga
6027500158.0,03614-050,585000,2022-01-10,169,-23.5153314,-46.5318252,Vila Santana
16030900454.0,05396-311,600000,2022-01-19,280,-23.571392,-46.7738142,Parque dos Principes
4920501404.0,04250-000,455000,2022-01-14,124,-23.6188014,-46.5989128,Vila Marte
6618801419.0,02225-011,290000,2022-01-07,106,-23.4830267,-46.5739074,Jardim Brasil
16026400477.0,05374-190,300000,2022-01-15,136,-23.5764843,-46.7601149,Jardim Ester Yolanda
