registration_number,postal_code,transaction_value,transaction_date,built_area
6728601783.0,02315-000,435000,2022-01-12,133
23707900159.0,08473-100,40000,2022-01-20,24
16034000105.0,05396-180,2150000,2022-01-13,597
11409001023.0,08295-030,300000,2022-01-19,107
18313500831.0,05798-080,320000,2022-01-07,102
17125600221.0,05750-001,358000,2022-01-13,68
14906600017.0,03937-090,615000,2022-01-21,200
5908601411.0,03654-010,340000,2022-01-14,78
4006400251.0,04261-000,1250000,2022-01-11,75
16805901641.0,05786-140,380000,2022-01-03,56
10304900647.0,04902-040,700000,2022-01-06,217
15720702228.0,04191-000,315000,2022-01-19,82
15720702236.0,04191-000,350000,2022-01-19,84
17303700985.0,04434-000,200000,2022-01-14,41
6637001449.0,02260-090,335000,2022-01-14,65
18312001475.0,05782-470,360000,2022-01-18,81
7819900131.0,05133-130,350000,2022-01-17,193
15923800526.0,05525-901,375000,2022-01-12,75
15310700901.0,03978-770,181000,2022-01-21,131
4309901093.0,04284-080,900000,2022-01-14,133
17801500295.0,04836-400,150000,2022-01-14,40
7002103660.0,02372-100,1118000,2022-01-17,242
11362400083.0,03680-010,264000,2022-01-17,82
7835900483.0,05142-020,650000,2021-12-30,150
15720703208.0,04191-000,470000,2022-01-14,82
16034200481.0,05396-450,1090000,2022-01-14,202
4911300541.0,04162-070,530000,2022-01-12,200
3907102975.0,04113-020,1160000,2022-01-12,160
12317900741.0,05659-020,278294,2022-01-13,65
5810100805.0,03515-000,321500,2022-01-24,95
11742200442.0,03920-100,300000,2022-01-18,112
16813300112.0,05778-181,282000,2022-01-24,50
16825601201.0,05780-290,850000,2022-01-12,85
19800401041.0,02306-004,307000,2022-01-17,154
12038200180.0,04655-020,640000,2022-01-14,139
9042301066.0,04674-060,1250000,2022-01-20,158
3404600381.0,01534-030,915000,2022-01-10,180
14511800188.0,08275-110,765000,2022-01-07,147
5931100717.0,03661-000,295000,2022-01-19,76
5514402517.0,03422-001,300000,2022-01-18,72
29911200971.0,04549-002,600000,2022-01-19,78
8820900203.0,04640-050,6100000,2022-01-21,764
13439200131.0,08122-210,355000,2022-01-11,96
16407200295.0,04949-030,140000,2022-01-20,70
9111100885.0,04337-160,260000,2022-01-11,114
10163200164.0,05616-040,1340000,2022-01-24,180
13820600298.0,08430-570,137895,2022-01-20,107
5104601870.0,03153-000,365000,2022-01-18,155
10203900544.0,03273-520,300000,2022-01-20,120
8310200951.0,05425-011,1479013,2022-01-19,96
4814100744.0,04161-070,375000,2022-01-13,82
17616400298.0,04847-900,320000,2022-01-19,53
11239300734.0,08060-040,290000,2022-01-19,120
23004700059.0,08255-420,68100,2022-01-19,23
19800400825.0,02306-004,338000,2022-01-17,135
5304801164.0,03349-015,250000,2022-01-26,55
5911400944.0,03662-000,350000,2022-01-12,73
8812000436.0,04739-060,2960500,2022-01-18,728
20110502300.0,05547-030,640000,2022-01-10,142
15709601811.0,04182-010,145000,2022-01-19,73
20109000097.0,05563-110,185000,2022-01-26,89
5701500926.0,03508-030,630000,2022-01-24,158
7518701103.0,02521-000,600000,2022-01-19,136
13212400111.0,08161-280,250000,2022-01-21,210
6817300673.0,02254-020,318000,2022-01-20,86
24508700088.0,08470-330,200000,2022-01-20,137
5314100096.0,03351-110,500000,2022-01-26,106
14105901515.0,08225-000,255000,2022-01-14,58
9003801215.0,04647-011,2450000,2022-01-21,291
16541500125.0,04930-130,200000,2022-01-19,35
5133200420.0,03226-090,1000000,2022-01-11,389
13708200577.0,08421-080,190000,2022-01-24,49
12416700153.0,05171-010,550000,2022-01-14,100
14503200452.0,08280-200,325000,2022-01-07,68
13106300697.0,08061-010,320680,2019-10-16,124
10110600291.0,05589-000,450000,2022-01-27,80
11645600695.0,03471-000,370000,2022-01-21,143
7536500068.0,02560-230,47000,2022-01-25,25
15025500213.0,03966-030,450000,2021-12-30,86
5907702559.0,03651-100,470000,2022-01-11,108
20103600432.0,05572-150,393400,2022-01-20,78
17801400517.0,04836-900,400000,2022-01-10,55
2110501898.0,05016-081,1450000,2021-12-22,203
6802300771.0,02073-060,980000,2022-01-11,212
19213400046.0,08141-620,112583,2022-01-26,60
6820506287.0,02078-050,340000,2022-01-13,114
11322300101.0,03563-070,182000,2022-01-21,140
14202002139.0,03685-010,121892,2022-01-24,51
14734102261.0,08275-580,350000,2022-01-14,110
5134000611.0,03211-090,760000,2022-01-21,252
13601900083.0,08460-300,110000,2022-01-21,80
18420802440.0,05791-900,350000,2022-01-17,55
8104300547.0,05451-060,1700000,2022-01-27,161
13514300126.0,08150-140,285000,2022-01-19,57
6749500293.0,02317-170,1100000,2022-01-18,335
11612700984.0,03436-040,220000,2022-01-17,62
11720200083.0,03288-010,702615,2022-01-21,220
5702401263.0,03503-000,700000,2022-01-24,141
16200132991.0,04661-300,770000,2022-01-27,100
16808400503.0,05793-250,180000,2022-01-24,105
18312101501.0,05782-370,490000,2022-01-24,81
7329700363.0,02511-010,330000,2022-01-31,69
16036200780.0,05386-330,530000,2022-01-24,104
6029908448.0,03613-000,375000,2022-01-21,84
19202602386.0,08142-005,200000,2022-01-26,145
11320100308.0,03569-020,280000,2022-01-29,82
4802300506.0,04151-040,1100000,2022-01-26,255
10904201006.0,02375-120,650000,2022-01-24,142
13440900540.0,08111-310,330000,2022-01-21,55
9132400225.0,04324-180,800000,2022-01-14,388
5914001201.0,03664-000,550000,2022-01-10,88
7042600207.0,02340-115,3000000,2022-01-12,495
8727700259.0,04756-130,499710,2022-01-25,71
8815400184.0,04748-000,2100000,2022-01-26,250
14513701055.0,08275-200,260000,2022-01-28,140
12111407282.0,04458-000,336000,2022-01-26,68
16915701051.0,05773-110,201757,2022-01-06,35
4529700267.0,04060-009,610000,2022-01-06,100
10508700166.0,05172-330,450000,2022-01-25,182
16011401685.0,05397-000,325000,2022-01-25,128
11426800761.0,08230-011,390000,2022-01-25,125
13013400403.0,03728-010,250000,2022-01-24,73
19402900623.0,08370-030,180000,2022-01-28,36
16032900011.0,05396-050,1700000,2022-01-26,300
13238100083.0,08180-080,320000,2022-01-18,72
14405000696.0,08290-310,335000,2022-01-24,106
18601300617.0,05550-030,390000,2022-01-21,83
14911000502.0,03936-010,200000,2022-01-31,147
12005100586.0,04652-218,730000,2022-01-26,150
15221101318.0,08320-452,352000,2022-01-28,122
8558800596.0,04704-030,961000,2022-01-28,343
4529800751.0,04052-110,3304000,2022-01-31,181
8260600201.0,05540-080,900000,2022-01-31,158
22708300243.0,02367-075,90000,2022-01-26,94
27401100353.0,04882-080,510000,2021-12-21,145
11053000757.0,03737-150,260000,2022-01-18,53
11439400856.0,08295-440,252000,2022-01-21,54
15226100662.0,08330-260,260000,2022-01-24,67
14706700761.0,03578-110,200000,2022-01-31,75
6002700511.0,03713-080,273000,2022-01-20,77
5823500661.0,03548-010,201200,2022-01-28,217
3902500395.0,01545-070,560000,2022-01-20,89
6608401401.0,02278-020,370000,2022-01-24,91
7006703506.0,02311-010,440000,2022-01-24,77
17410900112.0,04840-570,295000,2022-01-24,53
18312001671.0,05782-470,405000,2022-01-26,81
17414200042.0,04840-490,225000,2022-01-27,93
10132402271.0,05632-091,380000,2022-02-02,105
12707400105.0,02874-150,125000,2022-01-28,100
8218100581.0,05330-050,390000,2022-01-21,82
9510700177.0,04788-230,1600000,2022-01-28,290
26601700108.0,04865-160,100000,2022-02-01,56
13224000499.0,08081-220,30000,2022-01-27,126
19901200627.0,05108-050,450000,2022-01-31,120
10818200765.0,02631-000,250000,2022-01-31,223
6652502259.0,02218-010,400000,2022-01-25,99
11410800163.0,08295-320,196000,2022-01-31,54
11649000129.0,03477-010,1000000,2022-01-24,130
17616402126.0,04847-900,390000,2022-01-28,52
11636800555.0,03475-070,400000,2022-01-28,113
14208200668.0,08220-050,400000,2022-01-27,100
15221200588.0,08320-430,250000,2022-01-27,58
11136100473.0,03805-010,350000,2022-01-27,94
15300900574.0,03977-020,300000,2022-01-26,91
15516700395.0,03987-100,485000,2022-01-13,142
9503400317.0,04805-310,425000,2022-01-24,119
30000500450.0,05678-000,3750000,2022-01-26,528
5813700811.0,03530-000,105000,2022-01-28,59
13114900908.0,08070-080,380000,2022-01-25,81
10133002011.0,05627-030,975000,2022-02-01,216
9006200298.0,04648-000,1870000,2022-01-31,246
8810000803.0,04736-002,3850000,2022-01-21,472
13037801653.0,03756-020,324000,2022-01-19,91
14608500308.0,03583-060,520000,2022-01-27,148
17806800157.0,04836-610,420000,2022-01-31,69
18907500362.0,02992-160,350000,2022-01-20,60
15227200512.0,08320-020,340000,2022-01-28,148
17237201602.0,04414-000,300000,2022-01-28,100
12411600576.0,05176-210,350000,2022-01-28,78
11333501306.0,03666-020,295000,2022-01-28,82
17425500220.0,04851-005,260000,2022-01-26,100
11046701842.0,03736-200,635000,2022-01-26,208
7645501121.0,02739-000,315000,2022-01-21,120
17616402088.0,04847-900,380000,2022-02-03,52
9127500802.0,04349-130,680000,2022-01-28,129
16200132800.0,04661-300,550000,2022-02-01,95
11652100732.0,03463-000,457500,2022-02-04,80
12209400316.0,05846-410,440000,2022-01-31,122
6811801395.0,02248-120,495000,2022-01-31,107
30809700201.0,02846-190,490000,2022-01-24,96
14607800189.0,03583-000,400000,2022-01-31,249
5907500948.0,03651-020,320000,2022-02-01,79
11343200831.0,03669-030,340000,2022-01-21,68
5702401379.0,03507-000,405000,2022-01-24,90
27200300193.0,04866-100,200000,2022-02-01,70
7537000034.0,02560-170,200000,2022-02-03,25
5813101047.0,03530-010,315000,2022-01-21,73
10904300810.0,02375-120,600000,2022-01-10,147
7607500197.0,02730-020,320000,2022-01-21,70
11266001051.0,08030-370,536000,2022-01-24,111
16111100059.0,04476-260,1248000,2022-01-21,563
12820600106.0,02374-170,1100000,2022-01-21,371
6100400421.0,03605-020,410000,2022-01-21,92
11824001036.0,03237-090,280000,2022-01-24,69
7023004653.0,02308-001,440000,2022-01-31,90
6012903073.0,03614-000,335000,2022-01-27,61
12005700451.0,04652-200,320000,2022-01-26,56
11155306006.0,03675-000,310000,2022-02-01,72
21402101307.0,02998-050,400000,2022-01-27,200
5908601365.0,03654-010,340000,2022-02-03,78
17107600426.0,05638-010,650000,2022-02-03,80
30004202268.0,05679-065,1750000,2022-01-31,399
3216400387.0,03124-050,1000000,2022-02-07,271
6015901764.0,03613-010,580000,2022-01-31,78
16808900794.0,05794-330,395000,2022-01-21,74
11608500534.0,03436-000,400000,2022-02-07,140
7825700198.0,05123-010,970000,2022-01-28,200
10157201030.0,05514-090,680000,2022-01-26,90
14612800604.0,03587-080,415000,2022-01-31,131
15025900327.0,03966-040,500000,2022-01-27,100
5517100147.0,03415-050,1500000,2022-02-03,219
13116600375.0,08070-010,559000,2022-01-27,187
11246900113.0,08060-170,420000,2022-02-04,100
11416700934.0,08285-065,499000,2022-01-24,68
16616600032.0,05869-290,250000,2022-02-04,100
